X,Y
177,19.7530
178,15.9926
179,16.4170
180,17.4490
181,18.2798
182,17.2053
183,15.5447
184,13.3903
185,11.4734
186,15.4037
187,17.9132
188,19.1939
189,17.8656
190,15.7421
191,15.2364
192,15.1367
193,15.5246
194,15.4945
195,15.1197
196,14.8230
197,14.0347
198,13.3671
199,12.4556
200,12.0648
201,12.0827
202,11.2277
203,11.2238
204,11.1690
205,11.5496
206,12.2398
207,11.7578
208,10.7949
209,10.0001
210,10.9451
211,13.3294
212,14.8230
213,15.8071
214,17.0167
215,19.9087
216,20.6216
217,19.8025
218,19.8557
219,18.7178
220,15.3759
221,13.3822
222,12.5687
223,12.1916
224,12.9581
225,14.5934
226,14.4882
227,14.9209
228,13.9021
229,13.7974
230,14.1795
231,15.0830
232,16.1112
233,16.3393
234,17.2249
235,17.1123
236,16.5252
237,14.6484
238,11.3662
239,9.5553
240,11.0328
241,13.5214
242,16.0509
243,17.4211
244,16.2555
245,14.0340
246,13.6155
247,14.4888
248,14.6482
249,13.0490
250,10.3526
251,10.3500
252,9.7174
253,9.5983
254,10.8762
255,14.8473
256,16.9132
257,16.8947
258,15.2805
259,16.0604
260,18.5202
261,21.0781
262,21.9044
263,21.3371
264,21.1740
265,19.8595
266,22.7248
267,22.1951
268,19.8174
269,17.2718
270,16.0662
271,15.8768
272,15.8519
273,16.1977
274,11.8205
275,10.3803
276,13.2158
277,15.3497
278,12.4832
279,12.7790
280,14.7219
281,13.7391
282,14.3390
283,16.8302
284,20.1813
285,22.2553
286,22.1018
287,21.1361
288,19.9073
289,19.3705
290,21.8609
291,22.4928
292,21.3128
293,21.1807
294,21.2688
295,19.8033
296,16.7773
297,14.2426
298,13.4468
299,14.4231
300,15.2165
301,16.4623
302,16.5567
303,16.7376
304,15.9201
305,14.2388
306,15.5310
307,14.0937
308,16.4362
309,20.4458
310,20.1658
311,20.7571
312,21.8530
313,18.3693
314,15.6389
315,12.6068
316,8.3878
317,8.4406
318,12.4659
319,17.9385
320,20.6150
321,21.2812
322,22.5668
323,21.2326
324,19.1753
325,18.5349
326,18.8914
327,19.0455
328,17.6454
329,15.0179
330,19.2426
331,17.5464
332,13.0254
333,10.1673
334,9.7184
335,10.9210
336,12.8337
337,13.5523
338,13.8612
339,14.6798
340,15.4366
341,14.7161
342,13.2697
343,12.6215
344,13.3347
345,13.4225
346,10.7076
347,10.7199
348,11.3267
349,11.2277
350,11.2909
351,12.3539
352,12.9249
353,13.1547
354,13.0783
355,14.0766
356,15.6918
357,16.0160
358,15.6309
359,14.8468
360,15.2245
361,16.7844
362,18.9060
363,17.5379
364,16.3647
365,17.5989
366,21.0845
367,22.7875
368,22.6163
369,21.0140
370,20.2129
371,18.4475
372,16.3885
373,17.1751
374,19.1808
375,19.9068
376,16.3392
377,12.3343
378,16.2947
379,18.4160
380,19.0195
381,19.6047
382,19.5628
383,17.9681
384,14.5995
385,10.8955
386,9.7987
387,9.9141
388,12.5223
389,17.0377
390,17.2747
391,13.5431
392,11.4532
393,12.7477
394,13.9280
395,13.2972
396,13.5403
397,14.2127
398,15.8129
399,17.0703
400,16.5819
401,15.5844
402,15.3746
403,15.0469
404,15.7585
405,16.0238
406,14.8799
407,12.7470
