X,Y
723,253.472
724,253.857
725,254.321
726,254.719
727,254.950
728,254.801
729,254.667
730,251.899
731,248.694
732,239.698
733,218.760
734,192.667
735,171.071
736,156.480
737,143.400
738,134.761
739,135.782
740,149.338
741,170.457
742,184.166
743,185.480
744,178.973
745,168.731
746,155.018
747,134.116
748,122.278
749,129.072
750,146.024
751,165.255
752,177.400
753,184.371
754,182.004
755,175.624
756,171.408
757,164.642
758,159.873
759,159.942
760,161.456
761,161.351
762,156.795
763,148.203
764,141.834
765,146.421
766,159.667
767,169.450
768,173.922
769,177.350
770,182.694
771,193.629
772,209.698
773,224.009
774,232.990
775,239.947
776,246.058
777,250.130
778,251.312
779,251.512
780,252.682
781,253.764
782,254.165
783,253.646
784,252.223
785,250.825
786,249.085
787,244.497
788,235.336
789,223.813
790,212.479
791,198.345
792,178.067
793,155.952
794,143.317
795,145.916
796,161.443
797,182.312
798,198.410
799,207.129
800,210.413
801,207.882
802,198.327
803,184.302
804,170.109
805,163.242
806,164.575
807,168.973
808,173.550
809,174.053
810,173.228
811,172.791
812,171.268
813,168.969
814,164.542
815,161.772
816,161.751
817,159.180
818,157.457
819,154.692
820,143.675
821,127.660
822,111.662
823,97.965
824,85.857
825,76.120
826,69.734
827,68.287
828,69.148
829,69.728
830,71.613
831,77.246
832,92.401
833,115.913
834,131.200
835,143.030
836,159.059
837,168.151
838,173.281
839,179.172
840,186.687
841,195.639
842,202.295
843,204.738
844,205.579
845,205.306
846,204.575
847,206.008
848,208.998
849,210.974
850,211.315
851,210.127
852,209.275
853,208.650
854,206.114
855,203.603
856,199.149
857,189.939
858,180.425
859,166.303
860,147.507
861,134.866
862,125.766
863,113.333
864,96.563
865,80.426
866,70.964
867,68.376
868,73.125
869,82.520
870,82.855
871,76.408
872,82.853
873,104.789
874,123.128
875,129.608
876,131.606
877,136.960
878,146.693
879,155.527
880,159.426
881,160.456
882,159.151
883,155.813
884,153.017
885,149.317
886,141.521
887,131.221
888,118.486
889,100.754
890,77.354
891,56.114
892,45.915
893,42.441
894,44.641
895,51.445
896,73.633
897,109.780
898,135.558
899,149.820
900,165.080
901,176.844
902,186.712
903,196.210
904,201.445
905,204.151
906,204.183
907,202.451
908,203.073
909,203.153
910,202.337
911,201.027
912,200.464
913,200.607
914,196.737
915,185.174
916,169.196
917,154.510
918,144.727
919,135.646
920,125.635
921,115.336
922,107.451
923,110.958
924,124.975
925,136.960
926,147.736
927,156.432
928,158.669
929,153.042
930,145.400
931,137.240
932,127.755
933,118.876
934,107.029
935,90.109
936,77.055
937,73.828
938,76.049
939,79.730
940,88.800
941,98.806
942,105.942
943,111.574
944,115.850
945,117.915
946,119.573
947,120.255
948,116.870
949,112.284
950,108.860
951,105.340
952,96.895
953,84.948
954,83.288
955,97.271
956,111.903
957,123.115
958,126.972
959,128.655
960,129.738
961,129.454
962,128.468
963,130.419
964,136.010
965,143.099
966,149.517
967,154.564
968,158.119
969,160.282
970,160.427
971,157.378
972,151.965
973,144.574
974,136.340
975,129.245
976,126.133
977,127.287
978,131.719
979,134.766
980,130.037
981,124.113
982,115.484
983,108.776
984,111.264
985,115.995
986,116.190
987,115.905
988,118.342
989,113.829
990,98.813
991,79.285
992,64.981
993,58.486
994,57.668
995,57.866
996,57.966
997,62.286
998,69.010
999,69.315
1000,58.075
1001,42.592
1002,34.146
1003,36.421
1004,45.136
1005,58.625
1006,75.769
1007,92.852
1008,102.880
1009,104.128
1010,101.524
1011,93.871
1012,79.190
1013,66.558
1014,59.661
1015,58.358
1016,65.139
1017,78.975
1018,99.216
1019,121.438
1020,125.332
1021,123.153
1022,119.803
1023,116.658
1024,111.538
1025,107.046
1026,110.832
1027,121.887
1028,132.121
1029,142.418
1030,150.530
1031,156.960
1032,160.977
1033,161.759
1034,157.459
1035,150.039
1036,148.471
1037,145.113
1038,135.439
1039,123.329
1040,114.465
1041,106.026
1042,96.884
1043,88.001
1044,78.486
1045,70.631
1046,66.654
1047,67.250
1048,75.567
1049,91.715
1050,104.692
1051,111.880
1052,115.520
1053,116.561
1054,116.269
1055,116.196
1056,118.163
1057,120.465
1058,120.618
1059,120.420
1060,121.516
1061,122.628
1062,116.556
1063,103.813
1064,86.984
1065,62.981
1066,43.068
1067,39.367
1068,42.517
1069,42.997
1070,39.172
1071,35.108
1072,39.730
1073,52.567
1074,63.464
1075,68.979
1076,74.897
1077,74.455
1078,71.051
1079,68.698
1080,70.357
1081,78.368
1082,87.355
1083,92.071
1084,101.497
1085,112.982
1086,120.794
1087,122.722
1088,121.760
1089,122.343
1090,125.075
1091,130.196
1092,136.642
1093,145.488
1094,154.362
1095,160.766
1096,163.921
1097,165.133
1098,165.749
1099,166.742
1100,167.581
1101,168.858
1102,165.124
1103,157.033
1104,149.239
1105,141.445
1106,132.379
1107,120.510
1108,108.345
1109,88.863
1110,66.682
1111,51.073
1112,51.237
1113,64.685
1114,77.577
1115,85.245
1116,95.983
1117,105.546
1118,112.426
1119,118.297
1120,122.095
1121,123.695
1122,123.762
1123,122.803
1124,113.604
1125,100.746
1126,85.110
1127,65.747
1128,47.514
1129,37.242
1130,36.396
1131,37.581
1132,33.945
1133,30.431
1134,28.982
1135,28.834
1136,30.160
1137,31.298
1138,33.318
1139,37.554
1140,44.688
1141,54.940
1142,66.486
1143,77.477
1144,86.596
1145,95.493
1146,106.363
1147,115.770
1148,112.392
1149,106.122
1150,94.717
1151,80.342
1152,71.368
1153,71.683
1154,77.174
1155,87.799
1156,107.131
1157,123.992
1158,132.816
1159,140.304
1160,145.173
1161,144.698
1162,142.046
1163,138.257
1164,133.547
1165,125.756
1166,117.929
1167,112.251
1168,108.752
1169,104.478
1170,100.272
1171,91.491
1172,79.297
1173,67.957
1174,60.755
1175,53.867
1176,48.460
1177,48.331
1178,49.834
1179,47.749
1180,48.138
1181,46.124
1182,39.639
1183,31.448
1184,28.309
1185,29.786
1186,33.757
1187,42.409
1188,49.052
1189,49.585
1190,52.285
1191,46.839
1192,40.378
1193,41.353
1194,35.736
1195,29.980
1196,29.004
1197,32.310
1198,33.990
1199,33.083
1200,33.714
1201,34.255
1202,31.158
1203,26.880
1204,26.990
